state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,content_trace,reasoning_trace
test_000000,LEGAL,,ILLEGAL,derivation_break,0,,47.11,stop,30930,3125,3071,artifacts/gpt55_find_violations_plus_convention_traces/test_000000.content.txt,
test_000002,LEGAL,,LEGAL,,1,,126.06,stop,30469,7779,7679,artifacts/gpt55_find_violations_plus_convention_traces/test_000002.content.txt,
test_000004,LEGAL,,LEGAL,,1,,66.92,stop,26821,4153,4096,artifacts/gpt55_find_violations_plus_convention_traces/test_000004.content.txt,
test_000006,LEGAL,,LEGAL,,1,,73.84,stop,34243,4897,4826,artifacts/gpt55_find_violations_plus_convention_traces/test_000006.content.txt,
test_000008,LEGAL,,LEGAL,,1,,110.3,stop,32092,6938,6844,artifacts/gpt55_find_violations_plus_convention_traces/test_000008.content.txt,
test_000010,LEGAL,,LEGAL,,1,,94.53,stop,33549,5854,5772,artifacts/gpt55_find_violations_plus_convention_traces/test_000010.content.txt,
test_000012,LEGAL,,LEGAL,,1,,85.71,stop,30343,4652,4587,artifacts/gpt55_find_violations_plus_convention_traces/test_000012.content.txt,
test_000014,LEGAL,,LEGAL,,1,,120.15,stop,32642,6575,6489,artifacts/gpt55_find_violations_plus_convention_traces/test_000014.content.txt,
test_000016,LEGAL,,LEGAL,,1,,80.94,stop,33898,4626,4565,artifacts/gpt55_find_violations_plus_convention_traces/test_000016.content.txt,
test_000018,LEGAL,,LEGAL,,1,,95.05,stop,32506,5788,5707,artifacts/gpt55_find_violations_plus_convention_traces/test_000018.content.txt,
test_000020,LEGAL,,LEGAL,,1,,79.99,stop,30478,5000,4931,artifacts/gpt55_find_violations_plus_convention_traces/test_000020.content.txt,
test_000022,LEGAL,,LEGAL,,1,,127.31,stop,31131,7582,7482,artifacts/gpt55_find_violations_plus_convention_traces/test_000022.content.txt,
test_000024,LEGAL,,LEGAL,,1,,68.32,stop,32590,4671,4608,artifacts/gpt55_find_violations_plus_convention_traces/test_000024.content.txt,
test_000026,LEGAL,,LEGAL,,1,,78.21,stop,31378,4618,4554,artifacts/gpt55_find_violations_plus_convention_traces/test_000026.content.txt,
test_000028,LEGAL,,LEGAL,,1,,65.97,stop,38201,3635,3583,artifacts/gpt55_find_violations_plus_convention_traces/test_000028.content.txt,
test_000030,LEGAL,,LEGAL,,1,,135.46,stop,31456,8143,8039,artifacts/gpt55_find_violations_plus_convention_traces/test_000030.content.txt,
test_000032,LEGAL,,LEGAL,,1,,72.74,stop,33069,5055,4985,artifacts/gpt55_find_violations_plus_convention_traces/test_000032.content.txt,
test_000034,LEGAL,,LEGAL,,1,,91.13,stop,33655,6015,5933,artifacts/gpt55_find_violations_plus_convention_traces/test_000034.content.txt,
test_000036,LEGAL,,LEGAL,,1,,143.67,stop,32945,9073,8955,artifacts/gpt55_find_violations_plus_convention_traces/test_000036.content.txt,
test_000038,LEGAL,,LEGAL,,1,,96.21,stop,31842,6678,6591,artifacts/gpt55_find_violations_plus_convention_traces/test_000038.content.txt,
test_000040,LEGAL,,LEGAL,,1,,82.5,stop,32037,5333,5257,artifacts/gpt55_find_violations_plus_convention_traces/test_000040.content.txt,
test_000042,LEGAL,,LEGAL,,1,,89.94,stop,32769,5941,5859,artifacts/gpt55_find_violations_plus_convention_traces/test_000042.content.txt,
test_000044,LEGAL,,LEGAL,,1,,98.55,stop,33188,6218,6136,artifacts/gpt55_find_violations_plus_convention_traces/test_000044.content.txt,
test_000046,LEGAL,,LEGAL,,1,,122.67,stop,29068,7780,7677,artifacts/gpt55_find_violations_plus_convention_traces/test_000046.content.txt,
test_000048,LEGAL,,LEGAL,,1,,104.15,stop,32838,6743,6656,artifacts/gpt55_find_violations_plus_convention_traces/test_000048.content.txt,
test_000050,LEGAL,,LEGAL,,1,,98.74,stop,30080,6743,6656,artifacts/gpt55_find_violations_plus_convention_traces/test_000050.content.txt,
test_000052,LEGAL,,LEGAL,,1,,87.68,stop,30327,5707,5632,artifacts/gpt55_find_violations_plus_convention_traces/test_000052.content.txt,
test_000054,LEGAL,,LEGAL,,1,,107.19,stop,32351,7439,7340,artifacts/gpt55_find_violations_plus_convention_traces/test_000054.content.txt,
test_000056,LEGAL,,LEGAL,,1,,100.73,stop,36063,6399,6311,artifacts/gpt55_find_violations_plus_convention_traces/test_000056.content.txt,
test_000058,LEGAL,,LEGAL,,1,,97.5,stop,29430,6225,6144,artifacts/gpt55_find_violations_plus_convention_traces/test_000058.content.txt,
test_000060,LEGAL,,LEGAL,,1,,79.94,stop,29902,4754,4685,artifacts/gpt55_find_violations_plus_convention_traces/test_000060.content.txt,
test_000062,LEGAL,,LEGAL,,1,,118.98,stop,35596,7147,7055,artifacts/gpt55_find_violations_plus_convention_traces/test_000062.content.txt,
test_000064,LEGAL,,LEGAL,,1,,95.79,stop,32824,5929,5848,artifacts/gpt55_find_violations_plus_convention_traces/test_000064.content.txt,
test_000066,LEGAL,,LEGAL,,1,,84.84,stop,26713,5791,5709,artifacts/gpt55_find_violations_plus_convention_traces/test_000066.content.txt,
test_000068,LEGAL,,LEGAL,,1,,129.11,stop,34548,8706,8593,artifacts/gpt55_find_violations_plus_convention_traces/test_000068.content.txt,
