state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,content_trace,reasoning_trace
test_000000,LEGAL,,ILLEGAL,transition_break,0,,33.64,stop,30892,1821,1782,artifacts/gpt55_n20_high_findv_traces/test_000000.content.txt,
test_000001,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,8.8,stop,30893,534,512,artifacts/gpt55_n20_high_findv_traces/test_000001.content.txt,
test_000002,LEGAL,,ILLEGAL,transition_break,0,,33.23,stop,30431,2088,2048,artifacts/gpt55_n20_high_findv_traces/test_000002.content.txt,
test_000003,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,105.09,stop,30467,7052,6952,artifacts/gpt55_n20_high_findv_traces/test_000003.content.txt,
test_000004,LEGAL,,ILLEGAL,transition_break,0,,34.64,stop,26783,2289,2243,artifacts/gpt55_n20_high_findv_traces/test_000004.content.txt,
test_000005,ILLEGAL,cardinality_break,ILLEGAL,transition_break,1,0,10.16,stop,26783,534,512,artifacts/gpt55_n20_high_findv_traces/test_000005.content.txt,
test_000006,LEGAL,,ILLEGAL,transition_break,0,,31.84,stop,34205,2088,2049,artifacts/gpt55_n20_high_findv_traces/test_000006.content.txt,
test_000007,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,8.93,stop,34205,534,512,artifacts/gpt55_n20_high_findv_traces/test_000007.content.txt,
test_000008,LEGAL,,ILLEGAL,transition_break,0,,34.5,stop,32054,2291,2245,artifacts/gpt55_n20_high_findv_traces/test_000008.content.txt,
test_000009,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,72.35,stop,32086,4679,4606,artifacts/gpt55_n20_high_findv_traces/test_000009.content.txt,
test_000010,LEGAL,,ILLEGAL,transition_break,0,,81.33,stop,33511,6323,6229,artifacts/gpt55_n20_high_findv_traces/test_000010.content.txt,
test_000011,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,8.73,stop,33511,534,512,artifacts/gpt55_n20_high_findv_traces/test_000011.content.txt,
test_000012,LEGAL,,ILLEGAL,transition_break,0,,75.66,stop,30305,5284,5201,artifacts/gpt55_n20_high_findv_traces/test_000012.content.txt,
test_000013,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,40.76,stop,30305,2887,2834,artifacts/gpt55_n20_high_findv_traces/test_000013.content.txt,
test_000014,LEGAL,,ILLEGAL,transition_break,0,,38.33,stop,32604,2606,2559,artifacts/gpt55_n20_high_findv_traces/test_000014.content.txt,
test_000015,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,39.14,stop,32605,2557,2510,artifacts/gpt55_n20_high_findv_traces/test_000015.content.txt,
test_000016,LEGAL,,ILLEGAL,transition_break,0,,22.26,stop,33860,1422,1388,artifacts/gpt55_n20_high_findv_traces/test_000016.content.txt,
test_000017,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,86.08,stop,33895,5715,5630,artifacts/gpt55_n20_high_findv_traces/test_000017.content.txt,
test_000018,LEGAL,,ILLEGAL,transition_break,0,,9.85,stop,32468,534,512,artifacts/gpt55_n20_high_findv_traces/test_000018.content.txt,
test_000019,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,16.03,stop,32469,1052,1023,artifacts/gpt55_n20_high_findv_traces/test_000019.content.txt,
