state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,content_trace,reasoning_trace
test_000000,LEGAL,,ILLEGAL,transition_break,0,,20.37,stop,30892,534,512,artifacts/gpt55_n50_findv_traces/test_000000.content.txt,
test_000001,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,16.03,stop,30893,213,191,artifacts/gpt55_n50_findv_traces/test_000001.content.txt,
test_000002,LEGAL,,ILLEGAL,transition_break,0,,6.46,stop,30431,324,302,artifacts/gpt55_n50_findv_traces/test_000002.content.txt,
test_000003,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,9.87,stop,30467,534,512,artifacts/gpt55_n50_findv_traces/test_000003.content.txt,
test_000004,LEGAL,,ILLEGAL,transition_break,0,,10.05,stop,26783,534,512,artifacts/gpt55_n50_findv_traces/test_000004.content.txt,
test_000005,ILLEGAL,cardinality_break,ILLEGAL,transition_break,1,0,18.08,stop,26783,223,201,artifacts/gpt55_n50_findv_traces/test_000005.content.txt,
test_000006,LEGAL,,ILLEGAL,transition_break,0,,47.34,stop,34205,1331,1297,artifacts/gpt55_n50_findv_traces/test_000006.content.txt,
test_000007,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,10.17,stop,34205,534,512,artifacts/gpt55_n50_findv_traces/test_000007.content.txt,
test_000008,LEGAL,,ILLEGAL,transition_break,0,,10.05,stop,32054,534,512,artifacts/gpt55_n50_findv_traces/test_000008.content.txt,
test_000009,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,9.67,stop,32086,534,512,artifacts/gpt55_n50_findv_traces/test_000009.content.txt,
test_000010,LEGAL,,ILLEGAL,transition_break,0,,16.66,stop,33511,534,512,artifacts/gpt55_n50_findv_traces/test_000010.content.txt,
test_000011,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,15.1,stop,33511,534,512,artifacts/gpt55_n50_findv_traces/test_000011.content.txt,
