state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,content_trace,reasoning_trace
test_000000,LEGAL,,ILLEGAL,transition_break,0,,12.05,stop,30892,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000000.content.txt,
test_000001,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,67.47,stop,30893,3765,3700,artifacts/gpt55_n100_high_findv_azure_traces/test_000001.content.txt,
test_000002,LEGAL,,ILLEGAL,transition_break,0,,185.28,stop,30431,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000002.content.txt,
test_000003,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,122.24,stop,30467,6751,6653,artifacts/gpt55_n100_high_findv_azure_traces/test_000003.content.txt,
test_000004,LEGAL,,ILLEGAL,transition_break,0,,39.06,stop,26783,2234,2187,artifacts/gpt55_n100_high_findv_azure_traces/test_000004.content.txt,
test_000005,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,101.7,stop,26783,5670,5588,artifacts/gpt55_n100_high_findv_azure_traces/test_000005.content.txt,
test_000006,LEGAL,,ILLEGAL,transition_break,0,,44.26,stop,34205,2356,2311,artifacts/gpt55_n100_high_findv_azure_traces/test_000006.content.txt,
test_000007,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,26.8,stop,34205,1501,1467,artifacts/gpt55_n100_high_findv_azure_traces/test_000007.content.txt,
test_000008,LEGAL,,ILLEGAL,transition_break,0,,23.38,stop,32054,1252,1218,artifacts/gpt55_n100_high_findv_azure_traces/test_000008.content.txt,
test_000009,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,152.86,stop,32086,8823,8704,artifacts/gpt55_n100_high_findv_azure_traces/test_000009.content.txt,
test_000010,LEGAL,,ILLEGAL,transition_break,0,,21.21,stop,33511,1052,1024,artifacts/gpt55_n100_high_findv_azure_traces/test_000010.content.txt,
test_000011,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,103.51,stop,33511,6080,5992,artifacts/gpt55_n100_high_findv_azure_traces/test_000011.content.txt,
test_000012,LEGAL,,ILLEGAL,transition_break,0,,30.89,stop,30305,1570,1536,artifacts/gpt55_n100_high_findv_azure_traces/test_000012.content.txt,
test_000013,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,10.68,stop,30305,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000013.content.txt,
test_000014,LEGAL,,ILLEGAL,transition_break,0,,65.91,stop,32604,3642,3583,artifacts/gpt55_n100_high_findv_azure_traces/test_000014.content.txt,
test_000015,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,38.12,stop,32605,2088,2048,artifacts/gpt55_n100_high_findv_azure_traces/test_000015.content.txt,
test_000016,LEGAL,,ILLEGAL,transition_break,0,,25.36,stop,33860,1566,1532,artifacts/gpt55_n100_high_findv_azure_traces/test_000016.content.txt,
test_000017,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,115.77,stop,33895,6153,6064,artifacts/gpt55_n100_high_findv_azure_traces/test_000017.content.txt,
test_000018,LEGAL,,ILLEGAL,transition_break,0,,11.91,stop,32468,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000018.content.txt,
test_000019,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,10.46,stop,32469,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000019.content.txt,
test_000020,LEGAL,,ILLEGAL,transition_break,0,,83.14,stop,30440,4573,4502,artifacts/gpt55_n100_high_findv_azure_traces/test_000020.content.txt,
test_000021,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,19.71,stop,30440,1052,1023,artifacts/gpt55_n100_high_findv_azure_traces/test_000021.content.txt,
