state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,content_trace,reasoning_trace
test_000000,LEGAL,,ILLEGAL,transition_break,0,,20.02,stop,122265,534,512,artifacts/gpt55_traces/test_000000.content.txt,
test_000001,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,7.18,stop,122272,278,256,artifacts/gpt55_traces/test_000001.content.txt,
test_000002,LEGAL,,ILLEGAL,transition_break,0,,13.4,stop,130816,534,512,artifacts/gpt55_traces/test_000002.content.txt,
test_000003,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,12.93,stop,130957,534,512,artifacts/gpt55_traces/test_000003.content.txt,
test_000004,LEGAL,,ILLEGAL,transition_break,0,,38.36,stop,129710,534,512,artifacts/gpt55_traces/test_000004.content.txt,
test_000005,ILLEGAL,cardinality_break,ILLEGAL,transition_break,1,0,11.39,stop,129709,534,512,artifacts/gpt55_traces/test_000005.content.txt,
test_000006,LEGAL,,ILLEGAL,transition_break,0,,32.89,stop,131625,180,158,artifacts/gpt55_traces/test_000006.content.txt,
test_000007,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,44.28,stop,131625,534,512,artifacts/gpt55_traces/test_000007.content.txt,
test_000008,LEGAL,,ILLEGAL,transition_break,0,,15.81,stop,120838,534,512,artifacts/gpt55_traces/test_000008.content.txt,
test_000009,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,42.19,stop,120962,534,512,artifacts/gpt55_traces/test_000009.content.txt,
